pruefer_id;nachname;vorname;geschlecht;status;verfuegbar_fr;verfuegbar_sa
PR-001;Krause;Ida;w;Senior;ja;ja
PR-002;Winkler;Marie;w;Senior;ja;ja
PR-003;Huber;Leon;m;Senior;ja;ja
PR-004;Fischer;Frieda;w;Senior;ja;ja
PR-005;Voigt;Ben;m;Senior;ja;ja
PR-006;Engel;Felix;m;Senior;ja;ja
PR-007;Maier;Hannah;w;Senior;ja;ja
PR-008;Voigt;Julius;m;Senior;ja;ja
PR-009;Krause;Maximilian;m;Senior;ja;ja
PR-010;Becker;Viktoria;w;Senior;ja;ja
PR-011;Koch;Lena;w;Senior;ja;ja
PR-012;Ludwig;Emil;m;Senior;ja;ja
PR-013;Jansen;Johanna;w;Senior;ja;ja
PR-014;Meyer;David;m;Senior;ja;ja
PR-015;Brandt;Konstantin;m;Junior;ja;ja
PR-016;Kaiser;Nele;w;Junior;ja;ja
PR-017;Sauer;Julius;d;Junior;ja;ja
PR-018;Wolf;Johanna;w;Junior;ja;ja
PR-019;Peters;Noah;m;Junior;ja;ja
