bewerber_id;nachname;vorname;tag;geschlecht;studiengang;ruecksteller;rangfolge;rueckmeldestatus;zugelassen
BW-0001;Weber;Anton;Fr;m;Rechtswissenschaft;nein;1;Zusage;ja
BW-0002;Busch;Paul;Sa;m;Rechtswissenschaft;nein;2;Offen;ja
BW-0003;Peters;Ida;Fr;w;Rechtswissenschaft;nein;3;Offen;ja
BW-0004;Maier;Paul;Sa;m;Rechtswissenschaft;nein;4;Zusage;ja
BW-0005;Winkler;Anton;Fr;m;Rechtswissenschaft;nein;5;Absage;ja
BW-0006;Hoffmann;Frieda;Sa;w;Rechtswissenschaft;nein;6;Absage;ja
BW-0007;Lange;Emilia;Fr;w;Rechtswissenschaft;nein;7;Absage;ja
BW-0008;Sauer;Maximilian;Sa;m;Recht und Wirtschaft;nein;8;Zusage;ja
BW-0009;Simon;Katharina;Fr;w;Recht und Wirtschaft;nein;9;Absage;ja
BW-0010;Becker;Carl;Sa;m;Recht und Wirtschaft;nein;10;Absage;ja
BW-0011;Dietrich;Henri;Fr;m;Rechtswissenschaft;nein;11;Zusage;ja
BW-0012;Lehmann;Felix;Sa;m;Rechtswissenschaft;nein;12;Zusage;ja
BW-0013;Schulz;Carl;Fr;m;Rechtswissenschaft;nein;13;Absage;ja
BW-0014;Lorenz;Mia;Sa;w;Recht und Wirtschaft;nein;14;Zusage;ja
BW-0015;Thiele;Henri;Fr;m;Recht und Wirtschaft;nein;15;Zusage;ja
BW-0016;Krause;Charlotte;Sa;w;Rechtswissenschaft;nein;16;Zusage;ja
BW-0017;Voigt;Theo;Fr;m;Rechtswissenschaft;nein;17;Zusage;ja
BW-0018;Franke;Mia;Sa;w;Rechtswissenschaft;nein;18;Zusage;ja
BW-0019;Weber;Jakob;Fr;m;Recht und Wirtschaft;nein;19;Offen;ja
BW-0020;Fischer;Ida;Sa;w;Rechtswissenschaft;nein;20;Offen;ja
BW-0021;Franke;Emilia;Fr;w;Recht und Wirtschaft;nein;21;Absage;ja
BW-0022;Lorenz;Clara;Sa;w;Recht und Wirtschaft;nein;22;Zusage;ja
BW-0023;Ahrens;Paul;Fr;m;Rechtswissenschaft;nein;23;Absage;ja
BW-0024;Wolf;Jakob;Sa;m;Rechtswissenschaft;nein;24;Absage;ja
BW-0025;Ahrens;Mia;Fr;w;Recht und Wirtschaft;nein;25;Absage;ja
BW-0026;Winkler;Paula;Sa;w;Recht und Wirtschaft;nein;26;Zusage;ja
BW-0027;Simon;Jonas;Fr;m;Rechtswissenschaft;nein;27;Offen;ja
BW-0028;Sauer;Greta;Sa;w;Recht und Wirtschaft;nein;28;Absage;ja
BW-0029;Krause;Vincent;Fr;m;Rechtswissenschaft;nein;29;Zusage;ja
BW-0030;Jansen;Katharina;Sa;w;Recht und Wirtschaft;nein;30;Zusage;ja
BW-0031;Wagner;Carl;Fr;m;Rechtswissenschaft;nein;31;Zusage;ja
BW-0032;Fischer;Emil;Sa;m;Recht und Wirtschaft;nein;32;Absage;ja
BW-0033;Schulz;Paula;Fr;w;Rechtswissenschaft;nein;33;Zusage;ja
BW-0034;Voigt;Friedrich;Sa;m;Recht und Wirtschaft;nein;34;Zusage;ja
BW-0035;Richter;Maximilian;Fr;m;Rechtswissenschaft;nein;35;Zusage;ja
BW-0036;Schröder;Anna;Sa;w;Rechtswissenschaft;nein;36;Offen;ja
BW-0037;Huber;Emilia;Fr;d;Rechtswissenschaft;nein;37;Zusage;ja
BW-0038;Jansen;Paula;Sa;w;Rechtswissenschaft;nein;38;Zusage;ja
BW-0039;Schneider;Theo;Fr;m;Recht und Wirtschaft;nein;39;Zusage;ja
BW-0040;Dietrich;Friedrich;Sa;m;Rechtswissenschaft;nein;40;Zusage;ja
BW-0041;Wagner;Mia;Fr;w;Rechtswissenschaft;nein;41;Zusage;ja
BW-0042;Ludwig;Ben;Sa;m;Recht und Wirtschaft;nein;42;Absage;ja
BW-0043;Hartmann;Hannah;Fr;w;Rechtswissenschaft;nein;43;Offen;ja
BW-0044;Jansen;Mia;Sa;w;Rechtswissenschaft;nein;44;Absage;ja
BW-0045;Dietrich;Paul;Fr;m;Recht und Wirtschaft;nein;45;Zusage;ja
BW-0046;Winkler;Carl;Sa;m;Rechtswissenschaft;nein;46;Absage;ja
BW-0047;Ludwig;Hannah;Fr;w;Rechtswissenschaft;nein;47;Absage;ja
BW-0048;Kaiser;Emil;Sa;d;Recht und Wirtschaft;nein;48;Absage;ja
BW-0049;Stein;Sophie;Fr;w;Rechtswissenschaft;nein;49;Absage;ja
BW-0050;Schröder;Charlotte;Sa;w;Rechtswissenschaft;nein;50;Absage;ja
BW-0051;Schröder;Charlotte;Fr;w;Recht und Wirtschaft;nein;51;Zusage;ja
BW-0052;Peters;Ben;Sa;m;Rechtswissenschaft;nein;52;Zusage;ja
BW-0053;Ludwig;Henri;Fr;m;Recht und Wirtschaft;nein;53;Zusage;ja
BW-0054;Becker;Viktoria;Sa;w;Rechtswissenschaft;nein;54;Absage;ja
BW-0055;Krause;Noah;Fr;m;Rechtswissenschaft;nein;55;Absage;ja
BW-0056;Kaiser;Henri;Sa;m;Rechtswissenschaft;nein;56;Zusage;ja
BW-0057;Winkler;Lea;Fr;w;Rechtswissenschaft;nein;57;Absage;ja
BW-0058;Dietrich;Theo;Sa;m;Rechtswissenschaft;nein;58;Zusage;ja
BW-0059;Brandt;Lena;Fr;w;Rechtswissenschaft;nein;59;Absage;ja
BW-0060;Voigt;Sophie;Sa;w;Recht und Wirtschaft;nein;60;Zusage;ja
BW-0061;Ahrens;Noah;Fr;m;Rechtswissenschaft;nein;61;Absage;ja
BW-0062;Fischer;David;Sa;m;Recht und Wirtschaft;nein;62;Zusage;ja
BW-0063;Keller;Emil;Fr;m;Rechtswissenschaft;nein;63;Zusage;ja
BW-0064;Peters;Johanna;Sa;w;Recht und Wirtschaft;nein;64;Zusage;ja
BW-0065;Simon;Carl;Fr;m;Rechtswissenschaft;nein;65;Zusage;ja
BW-0066;Simon;Johanna;Sa;d;Rechtswissenschaft;nein;66;Absage;ja
BW-0067;Schmidt;Marie;Fr;w;Rechtswissenschaft;nein;67;Zusage;ja
BW-0068;Sauer;Emil;Sa;m;Rechtswissenschaft;nein;68;Zusage;ja
BW-0069;Fischer;Lukas;Fr;m;Rechtswissenschaft;nein;69;Zusage;ja
BW-0070;Lange;Ben;Sa;m;Rechtswissenschaft;nein;70;Zusage;ja
BW-0071;Maier;Sophie;Fr;w;Rechtswissenschaft;nein;71;Absage;ja
BW-0072;Fuchs;Henri;Sa;m;Recht und Wirtschaft;nein;72;Absage;ja
BW-0073;Graf;Anton;Fr;m;Rechtswissenschaft;nein;73;Absage;ja
BW-0074;Keller;Henri;Sa;m;Rechtswissenschaft;nein;74;Zusage;ja
BW-0075;Neumann;Charlotte;Fr;w;Recht und Wirtschaft;nein;75;Zusage;ja
BW-0076;Huber;Katharina;Sa;w;Rechtswissenschaft;nein;76;Zusage;ja
BW-0077;Brandt;Johanna;Fr;w;Rechtswissenschaft;nein;77;Absage;ja
BW-0078;Thiele;Leon;Sa;m;Rechtswissenschaft;nein;78;Absage;ja
