pruefer_id;nachname;vorname;geschlecht;status;verfuegbar_fr;verfuegbar_sa
PR-001;Ahrens;Emilia;w;Senior;ja;ja
PR-002;Lorenz;Frieda;w;Senior;ja;ja
PR-003;Stein;Sophie;w;Senior;ja;ja
PR-004;Martens;Charlotte;w;Senior;ja;nein
PR-005;Martens;Theo;m;Senior;ja;ja
PR-006;Klein;Lukas;m;Senior;ja;ja
PR-007;Fuchs;Lea;w;Senior;ja;ja
PR-008;Busch;Konstantin;m;Senior;ja;ja
PR-009;Schröder;Marie;w;Senior;ja;ja
PR-010;Weber;Katharina;w;Senior;ja;ja
PR-011;Brandt;Greta;w;Senior;ja;ja
PR-012;Hartmann;Paula;w;Senior;ja;ja
PR-013;Jansen;Frieda;w;Senior;ja;ja
PR-014;Schulz;Greta;w;Senior;ja;ja
PR-015;Graf;Carl;m;Senior;ja;ja
PR-016;Winkler;Maximilian;m;Senior;ja;ja
PR-017;Sommer;Theo;m;Senior;ja;ja
PR-018;Franke;Julius;m;Senior;ja;ja
PR-019;Keller;Katharina;w;Senior;ja;ja
PR-020;Koch;Clara;w;Senior;ja;ja
PR-021;Klein;Lena;w;Senior;ja;ja
PR-022;Seidel;Carl;m;Senior;ja;ja
PR-023;Schmidt;Theresa;w;Senior;ja;ja
PR-024;Meyer;Ben;m;Senior;ja;ja
PR-025;Krause;Friedrich;m;Senior;ja;ja
PR-026;Meyer;Charlotte;w;Senior;ja;ja
PR-027;Voigt;Julius;m;Senior;ja;ja
PR-028;Jansen;Ben;m;Senior;ja;ja
PR-029;Richter;Noah;m;Senior;ja;ja
PR-030;Lorenz;Katharina;w;Senior;ja;ja
PR-031;Berger;Viktoria;w;Senior;ja;ja
PR-032;Krüger;Carl;m;Senior;ja;ja
PR-033;Kaiser;Jonas;m;Senior;ja;ja
PR-034;Franke;Vincent;m;Senior;ja;ja
PR-035;Lange;Emil;m;Senior;ja;ja
PR-036;Fischer;Leon;m;Senior;ja;ja
PR-037;Schmidt;Jonas;m;Senior;ja;ja
PR-038;Stein;Emil;m;Senior;ja;ja
PR-039;Busch;Noah;m;Senior;ja;ja
PR-040;Bachmann;Lena;w;Senior;ja;ja
PR-041;Krüger;Hannah;w;Senior;ja;ja
PR-042;Fischer;Ida;w;Senior;ja;ja
PR-043;Peters;Emilia;w;Senior;ja;ja
PR-044;Becker;Noah;m;Senior;ja;ja
PR-045;Fischer;Vincent;m;Senior;ja;ja
PR-046;Vogel;Greta;w;Senior;ja;ja
PR-047;Wagner;Felix;m;Senior;ja;ja
PR-048;Meyer;Ida;w;Senior;ja;ja
PR-049;Huber;Maximilian;m;Senior;ja;ja
PR-050;Hartmann;Nele;w;Senior;ja;ja
PR-051;Möller;Maximilian;m;Senior;ja;ja
PR-052;Richter;Noah;m;Senior;ja;ja
PR-053;Schulz;Hannah;w;Senior;ja;ja
PR-054;Lehmann;Nele;w;Senior;ja;ja
PR-055;Engel;Paula;w;Senior;ja;ja
PR-056;Meyer;Jakob;m;Senior;ja;ja
PR-057;Busch;Marie;w;Senior;ja;ja
PR-058;Lange;Mia;w;Senior;ja;ja
PR-059;Peters;Luise;w;Junior;ja;ja
PR-060;Lehmann;Clara;w;Junior;ja;ja
PR-061;Voigt;Emilia;w;Junior;ja;ja
PR-062;Becker;Emil;m;Junior;ja;ja
PR-063;Winkler;Emil;m;Junior;ja;ja
PR-064;Busch;Anna;w;Junior;nein;ja
PR-065;Richter;Viktoria;w;Junior;ja;ja
PR-066;Koch;Henri;m;Junior;ja;ja
PR-067;Möller;Viktoria;w;Junior;ja;ja
PR-068;Schulz;Moritz;m;Junior;ja;ja
PR-069;Jansen;Theo;m;Junior;ja;ja
PR-070;Seidel;Anna;w;Junior;ja;ja
PR-071;Stein;Felix;m;Junior;ja;ja
PR-072;Brandt;Konstantin;m;Junior;ja;ja
PR-073;Schmidt;Noah;m;Junior;ja;nein
PR-074;Lehmann;Luise;w;Junior;ja;ja
PR-075;Lange;Frieda;d;Junior;ja;ja
PR-076;Wolf;David;m;Junior;ja;ja
PR-077;Becker;Emil;m;Junior;ja;ja
PR-078;Wolf;Greta;w;Junior;ja;ja
PR-079;Simon;Moritz;m;Junior;ja;ja
PR-080;Becker;Mia;w;Junior;ja;ja
PR-081;Becker;Hannah;w;Junior;ja;ja
PR-082;Sauer;Luise;w;Junior;ja;ja
PR-083;Klein;Hannah;w;Junior;ja;ja
PR-084;Keller;Julius;m;Junior;ja;ja
PR-085;Weber;Luise;w;Junior;ja;ja
PR-086;Graf;Julius;m;Junior;ja;ja
PR-087;Keller;Paula;w;Junior;ja;ja
